Org,hits
1-JOINK,18.0
123NET,2.0
1337 Services GmbH,3.0
24SHELLS,2.0
31173 Services AB,19.0
360-BROADBAND,7.0
4CEPA-FASTNET,34.0
4Media Ltd.,147.0
5KOM OOD,2.0
5X5,1.0
"A1 Slovenija telekomunikacijske storitve,d.d.",2.0
ABCDE GROUP,41.0
ACADIANA-WIRELESS,7.0
ACDNET-ASN1,5.0
ACE-FIBER-01,8.0
ACESSOLINE TELECOMUNICACOES LTDA,2.0
ACS-INTERNET,213.0
ADAMS-CATV,15.0
AENEAS,92.0
AERVIVO-DIA,4.0
AERWAVE,7.0
AFRIHOST-SP,2.0
AGOTOZ PTE. LTD.,25.0
AGRI-VALLEY,6.0
AIRSTREAM-BNC,6.0
AIRSTREAMCOMM-NET,6.0
ALENCO,14.0
ALHNVL-HAYNEVILLE-TELEPHONE,2.0
ALL-POINTS-BROADBAND-5,5.0
ALLIANCECOM-NET,2.0
ALLO-COMM,74.0
ALLWEST,2.0
ALPINE-PUBLIC-ASN,19.0
ALSK-7782,6.0
ALYRICA,35.0
AMAZON-02,1746.0
AMAZON-AES,36.0
AMH,6.0
AMPLEX,13.0
ANDRENA,14.0
ANTIETAM,43.0
APOG-MILLERSVILLE,1.0
APPS,2.0
APUA,20.0
ARBOR,8.0
ARTERIA Networks Corporation,3.0
ARVIG-16904,37.0
AS-26496-GO-DADDY-COM-LLC,153.0
AS-CITY-AND-COUNTY-OF-DENVER,9.0
AS-CMN,1183.0
AS-COLOCROSSING,1231.0
AS-EFTL,85.0
AS-GLOBALTELEHOST,81.0
AS-HEARTLANDFIBER,4.0
AS-PTD,514.0
AS-SMARTCOM,23.0
AS-SONICTELECOM,165.0
AS-TING-BACKBONE,14.0
AS-VULTR,14.0
AS-WAVE-1,92.0
AS-WHOLESAIL,181.0
AS-WISPER,6.0
AS-WYOMINGWIRELESS,5.0
AS21565,782.0
AS54686-CFBROADBAND,1.0
AS54723-MIDWEST-DATA-CENTER,5.0
AS62943-BLUEBIRD-NETWORK,3.0
ASMedi,2.0
ASN-ALLENS,4.0
ASN-AT-12033,21.0
ASN-BOYCOM,2.0
ASN-CBCBH,2.0
ASN-CXA-ALL-CCI-22773-RDC,5688.0
ASN-IDK-27425,16.0
ASN-NETSYNC,13.0
ASN-SHREWS,6.0
ASN-STARRY,81.0
ASN-SWC,8.0
ASN46650-CCGL,2.0
ASTREA-NORTHWI-WESTUPMI,4.0
ATC-BROADBAND,7.0
ATLANTICBB-JOHNSTOWN,621.0
ATLINK,4.0
ATOM-MI-53-198,1.0
ATT-INTERNET4,20749.0
AUBURN-ESSENTIAL-SERVICES,8.0
AUREON-5056,122.0
AVAST Software s.r.o.,184.0
AYERA-AS,12.0
AZ VIETNAM TECHNOLOGY JOINT STOCK COMPANY,1.0
AZDIGI Corporation,122.0
Accra-Technical-University,108.0
Administracion Nacional de Telecomunicaciones,2.0
Aeza Group LLC,31.0
Aeza International Ltd,121.0
Afranet,2.0
AgotoZ HK Limited,7.0
Airband Community Internet Ltd,2.0
Akamai Connected Cloud,1855.0
Akamai International B.V.,4.0
Alexhost Srl,19.0
"Alibaba US Technology Co., Ltd.",1015.0
Allonstelefonstroy LLP,3.0
Alpha Strike Labs GmbH,10.0
Alsycon B.V.,377.0
Alviva Holding Limited,1.0
Amarutu Technology Ltd,33.0
Aria Shatel PJSC,2.0
Asg Corporate Solutions Private Limited,17.0
Atria Convergence Technologies Ltd.,1.0
Aussie Broadband,2.0
B-U-C,10.0
BACOM,119.0
BAI-IP-SERVICES,1.0
BAM,2.0
BARGER-CREEK,3.0
BATELNET,4.0
BB-COLUMBUS,3.0
BBT-ISP,2.0
BBTEL,20.0
BCCTV,2.0
BCI,5.0
BEAMSPEED1,9.0
BEC-FIBER,2.0
BELLSOUTH-NET-BLK,70.0
BELZONICABLE,19.0
BEN-LOMAND-TEL,55.0
BERTRAM-COMMUNICATIONS-LLC,2.0
BEVCOMM-AS1,2.0
BHN-33363,4645.0
BIFIV,16.0
BIGLOBE Inc.,1.0
BIGRIVER,2.0
BLEDSOE,2.0
BLNWX,6.0
BLUENET,13.0
BLUESPAN,4.0
BLUESTREAMFIBER,76.0
